row_number,Order ID,Product ID,Customer ID,Order Date,Ship Mode,DeliveryTime,Quantity,Sales,Profit,Payment Mode,rating
1,CA-2019-160304,FUR-BO-10004709,BM-11575,01-01-2019,Standard Class,30 mins,1,73.94,28.2668,Online,4.1
2,CA-2019-160304,FUR-BO-10004709,BM-11575,02-01-2019,Standard Class,45 mins,3,173.94,38.2668,Online,2.3
3,CA-2019-160304,TEC-PH-10000455,BM-11575,02-01-2019,Standard Class,25 mins,2,231.98,67.2742,Cards,3.4
4,CA-2019-125206,OFF-ST-10003692,LR-16915,03-01-2019,First Class,40 mins,2,114.46,28.615,Online,3.7
5,US-2019-116365,TEC-AC-10002217,CA-12310,03-01-2019,Standard Class,35 mins,2,30.08,-5.264,Online,4.4
6,US-2019-116365,TEC-AC-10002942,CA-12310,03-01-2019,Standard Class,30 mins,3,165.6,-6.21,Online,3.3
7,US-2019-116365,TEC-PH-10002890,CA-12310,03-01-2019,Standard Class,50 mins,5,180.96,13.572,Cards,3.6
8,CA-2019-105207,FUR-TA-10000617,BO-11350,03-01-2019,Standard Class,20 mins,7,1592.85,350.427,COD,4
9,CA-2019-105207,OFF-BI-10004364,BO-11350,03-01-2019,Standard Class,45 mins,2,11.88,5.346,COD,3.5
10,US-2019-164630,TEC-CO-10000971,EB-13975,04-01-2019,Standard Class,60 mins,4,959.968,119.996,Online,4.3
11,CA-2019-158211,OFF-AR-10004078,BP-11185,04-01-2019,Standard Class,35 mins,1,4.672,0.584,Online,4
12,CA-2019-158211,OFF-BI-10002026,BP-11185,04-01-2019,Standard Class,25 mins,6,104.58,-80.178,Online,2.2
13,CA-2019-134474,TEC-AC-10001714,AJ-10795,05-01-2019,Second Class,20 mins,6,191.472,40.6878,COD,5
14,CA-2019-134474,OFF-AR-10003958,AJ-10795,05-01-2019,Second Class,30 mins,2,5.248,0.5904,Online,3.8
15,CA-2019-134474,TEC-PH-10002923,AJ-10795,05-01-2019,Second Class,25 mins,2,59.184,5.1786,COD,4.2
16,CA-2019-101938,OFF-AR-10003696,DW-13480,07-01-2019,Standard Class,30 mins,1,34.58,10.0282,COD,4
17,CA-2019-158806,FUR-FU-10004270,NM-18520,07-01-2019,Standard Class,40 mins,3,23.076,-10.9611,COD,5
18,CA-2019-158806,OFF-PA-10004621,NM-18520,07-01-2019,Standard Class,20 mins,5,25.92,9.072,Cards,4.9
19,US-2019-100461,FUR-BO-10002545,JO-15145,08-01-2019,Standard Class,30 mins,6,1565.88,407.1288,Online,4.3
20,US-2019-100461,OFF-BI-10001460,JO-15145,08-01-2019,Standard Class,50 mins,7,106.05,49.8435,Cards,3.9
21,US-2019-137295,OFF-BI-10004236,VS-21820,08-01-2019,Standard Class,20 mins,7,30.828,-24.6624,Cards,4.2
22,US-2019-137295,OFF-AR-10001955,VS-21820,08-01-2019,Standard Class,40 mins,3,47.616,5.952,COD,4.1
23,US-2019-137295,TEC-PH-10004080,VS-21820,08-01-2019,Standard Class,30 mins,2,108.784,10.8784,COD,3.9
24,CA-2019-108882,TEC-AC-10000420,LA-16780,09-01-2019,Standard Class,25 mins,5,349.95,118.983,COD,3.9
25,CA-2019-108882,TEC-PH-10002726,LA-16780,09-01-2019,Standard Class,35 mins,9,377.928,141.723,Cards,5
26,CA-2019-126543,FUR-FU-10002445,MF-17665,09-01-2019,Second Class,20 mins,2,15.168,3.792,Cards,3.3
27,CA-2019-116547,FUR-FU-10000076,KB-16585,10-01-2019,Standard Class,30 mins,4,79.92,34.3656,Cards,3.5
28,CA-2019-116547,TEC-AC-10002335,KB-16585,10-01-2019,Standard Class,40 mins,2,69.98,13.2962,COD,4
29,CA-2019-163937,FUR-FU-10000010,JB-16000,10-01-2019,Second Class,45 mins,5,24.85,7.7035,Cards,4.3
30,CA-2019-126529,OFF-PA-10001166,DE-13255,11-01-2019,Second Class,30 mins,3,15.552,5.4432,Online,1.5
31,CA-2019-126529,OFF-PA-10003656,DE-13255,11-01-2019,Second Class,25 mins,3,63.312,20.5764,Cards,2.9
32,CA-2019-126529,TEC-PH-10000148,DE-13255,11-01-2019,Second Class,20 mins,2,15.588,-9.8724,Online,4.2
33,CA-2019-141887,FUR-FU-10002268,MP-17470,11-01-2019,Standard Class,40 mins,14,54.992,8.9362,Online,3.4
34,CA-2019-133368,OFF-PA-10004039,AG-10675,14-01-2019,Standard Class,30 mins,2,89.568,32.4684,Cards,3.7
35,CA-2019-133368,FUR-FU-10003374,AG-10675,14-01-2019,Standard Class,25 mins,8,315.776,31.5776,Online,3.9
36,CA-2019-152072,OFF-EN-10003040,Dp-13240,15-01-2019,Standard Class,45 mins,2,52.34,24.5998,Cards,4.1
